Minor:,Group1 Type:,Group1 Type Amt:,Group1 List:,Group2 Type:,Group2 Type Amt:,Group2 List:,Group3 Type:,Group3 Type Amt:,Group3 List:,Group4 Type:,Group4 Type Amt:,Group4 List:,Group5 Type:,Group5 Type Amt:,Group5 List:,Group6 Type:,Group6 Type Amt:,Group6 List:,Required Classes:,Total Credit Hours:
Adult Development,C,1,"HDFS 225, HDFS 425, HDFS 426",H,6,"AGED 490, CMN 336, CMN 368, EPSY 407, HDFS 404 OR CHLH 404, PSYC 361, RST 316, SOCW 240, SOCW 315, HDFS 294, HDFS 450, HDFS 494",,,,,,,,,,,,,"HDFS 105, HDFS 120, HDFS 310",18
Aging,H,9,"KIN 459, SOCW 240, SOCW 315, CHLH 494, RST 316, RST 335, SHS 271, KIN 386, EPSY 407, UP 340",,,,,,,,,,,,,,,,"IHLT 240, CHLH 404, PSYC 361",18
Agricultural Safety & Health,H,3,"TSM 293, TSM 295, TSM 496",H,6,"CHLH 101, CHLH 244, CHLH 274, CHLH 304, CHLH 469, CHLH 474, CHLH 540, FSHN 480, HDFS 105, KIN 262, PSYC 100, PSYC 103, PSYC 358, PSYC 456",,,,,,,,,,,,,"TSM 421, TSM 422, TSM 425",18
Animal Sciences,C,2,"ANSC 223, ANSC 224, ANSC 221, ANSC 222",C,2,"ANSC 3XX, ANSC 4XX, !ANSC 398, !ANSC 499",,,,,,,,,,,,,"ANSC 100, ANSC 101",20
Anthropology,C,2,"ANTH 220, ANTH 230, ANTH 240, ANTH 270",H,6,"ANTH 3XX, ANTH 4XX",HX,6,"ANTH 1XX, ANTH 2XX, ANTH 3XX, ANTH 4XX, ANTH 5XX",,,,,,,,,,,18
Architectural Studies,H,6,"ARCH 321, ARCH 434, ARCH 314, ARCH 402, ARCH 403, ARCH 407, ARCH 410, ARCH 411, ARCH 412, ARCH 413, ARCH 414, ARCH 415, ARCH 416, ARCH 417, ARCH 418",,,,,,,,,,,,,,,,"ARCH 171 ARCH 210, ARCH 231, ARCH 273",19
Asian American Studies,H,3,"AAS 1XX, AAS 2XX, AAS 3XX, AAS 4XX",H,3,"AAS 3XX, AAS 4XX",,,,,,,,,,,,,"AAS 100, AAS 200, AAS 215, AAS 300",18
Business Minor for Non-Business Majors,C,2,"BADM 300, BADM 311, BADM 312, BADM 313, BADM 314, BADM 323, BADM 326, BADM 340, BADM 350, BADM 367, BADM 375, BADM 380, BADM 381",,,,,,,,,,,,,,,,"ACCY 200, BAMD 310, BADM 320, FIN 221",18
Cinema Studies,C,1,"MACS 207, MACS 382, MACS 383, MACS 419, MACS 466, MACS 470, MACS 490, MACS 493, ANTH 266, ITAL 270, MACS 205, MACS 211, MACS 250, MACS 335, MACS 356, MACS 365, MACS 375, MACS 381, MACS 432, MACS 461, MDIA 223, MDIA 380, ENGL 272",C,1,"MACS 3XX, MACS 4XX",,,,,,,,,,,,,"MACS 203, MACS 261, MACS 262, MACS 361",18
Computational Science & Engineering,C,1,"CS 101, ECE 220, CS 125, LING 402, CS 225",C,1,"MATH 441, MATH 442, MATH 489, MATH 415, ECE 493, STAT 408, STAT 409, STAT 410, STAT 420, STAT 430, STAT 461, MATH 482, MATH 484, MATH 446, MATH 448, MATH 444, MATH 447",C,1,"CS 450 OR CSE 401, TAM 470 OR CSE 450, ECE 448 OR CS 440, CS 411, STAT 440, LING 402, CS 466, GEOG 489",H,9,"CHEM 576, CS 466, CSE 564 OR CEE 534, CSE 565 OR CEE 557, CSE 566 OR ATMS 502 OR CS 505, CHEM 550, CSE 402 OR CS 420 OR ECE 492, CSE 422 ORR CS 433, CSE 423 OR CS 423, CSE 426 OR CS 427, CSE 427 OR CS 418, CSE 429 OR CS 428, CSE 521 OR ECE 511, CSE 522 OR CS 533, CSE 527 OR CS 519, CSE 530 OR ECE 540, CSE 532 ORR ECE 552, CSE 450 OR TAM 470, CSE 461 OR AE 410, CSE 560 OR TAM 570, CSE 561 OR ME 554, CSE 566 OR ATMS 502, CSE 412 OR ME 412, CSE 401 OR CS 450 OR ECE 491 OR MATH 450, CSE 414 OR CS 473 OR MATH 473, CSE 441 OR ECE 490, CSE 510 OR CS 555, CSE 511 OR CS 556, CSE 512 CS 554, CSE 513 OR CS 558, CSE 515 OR CS 573, CSE 517 OR TAM 574, CSE 553 OR CEE 577, CEE 528, ASTR 510, CSE 485 OR MSE 485 OR PHYS 466, CSE 441 OR ECE 490, CSE 543 OR ECE 547, ECE 513, ECE 558, CSE 450 OR TAM 470, CSE 451 OR ME 471 OR AE 420, CSE 517 OR TAM 574, CSE 551 OR CEE 570, CSE 552 OR CEE 576, ME 570, TAM 598, CSE 428 OR STAT 428, CSE 440 OR STAT 440, CSE 448 OR STAT 448, CSE 525 OR STAT 525, CSE 531 OR STAT 530, CSE 542 ORRR STAT 542, STAT 430, CS 412, CS 410",,,,,,,,18
Computer Science,C,2,"CS 233, CS 241 OR ECE 391, CS 357, CS 374, CS 4XX, !CS 413, !CS 491, !CS 492, !CS 493, !CS 494",C,1,"CS 4XX, !CS 413, !CS 491, !CS 492, !CS 493, !CS 494",,,,,,,,,,,,,"CS 125 OR ECE 220, CS 173 OR MATH 213, CS 225",20
"creative writing-narrative writing",H,6,"ENGL 1XX, ENGL 2XX, ENGL 3XX, ENGL 4XX, CW 1XX, CW 2XX, CW 3XX, CW 4XX, CMN 310, CMN 423, JOUR 475, THEA 211, IS 410",H,3,"ENGL 3XX, ENGL 4XX, CW 3XX, CW 4XX, CMN 310, CMN 423, JOUR 475, THEA 211, IS 410",,,,,,,,,,,,,"CW 100, CW 104, CW 204, CW 404",18
"Criminology, Law, & Society",C,1,"SOC 100, SOC 163",C,1,"SOC 378, SOC 477, SOC 479",H,9,"SOC 101, SOC 225, SOC 310, SOC 373, SOC 375, SOC 378, SOC 390, SOC 396, SOC 400, SOC 477, SOC 479, SOC 490, SOC 496",H,3,"SOC 310, SOC 373, SOC 375, SOC 378, SOC 390, SOC 396, SOC 400, SOC 477, SOC 479, SOC 490, SOC 496",,,,,,,SOC 275,18
Crop & Soil Management,C,1,"NRES 438, NRES 471, NRES 474, NRES 475",H,3,"CPSC 1XX, CPSC 2XX, CPSC 3XX, CPSC 4XX, HORT 1XX, HORT 2XX, HORT 3XX, HORT 4XX, PLPA 1XX, PLPA 2XX, PLPA 3XX, PLPA 4XX, !CPSC 393, !HORT 393, !CPSC 395, !HORT 395, !PLPA 395",,,,,,,,,,,,,"CPSC 112, CPSC 418, NRES 201, NRES 488",20
Disability Studies,C,1,"RST 260, SHS 352, CHLH 404, KIN 360",H,9,"ARTD 420, CMN 260, CMN 462, CMN 463, CMN 467, HDFS 208, GWS 366, REHB 435, RST 230, SHS 222, SHS 271, SHS 380, SOCW 370, SPED 322",,,,,,,,,,,,,"REHB 330, REHB 402",19
East Asian Languages and Cultures,C,1,"CHIN 204, JAPN 204, KOR 204",H,6,"CHIN 4XX, JAPN 4XX, KOR 4XX, EALC 4XX",H,6,"CHIN 1XX, CHIN 2XX, CHIN 3XX, CHIN 4XX, JAPN 1XX, JAPN 2XX, JAPN 3XX, JAPN 4XX, KOR 1XX, KOR 2XX, KOR 3XX, KOR 4XX, EALC 1XX, EALC 2XX, EALC 3XX, EALC 4XX",,,,,,,,,,EALC 120,20
"Ecology & Conservation Biology,",C,2,"IB 348, IB 362, IB 431, IB 440, IB 443, IB 444, IB 451, IB 452, IB 453",,,,,,,,,,,,,,,,"IB 150, IB 203, IB 204",17
Economics-macroeconomics track,C,1,"ECON 420, ECON 452, ECON 462, ECON 490",,,,,,,,,,,,,,,,"ECON 102, ECON 202, ECON 203, ECON 302, ECON 103, ECON 303",18
Economics-microeconomics track,C,2,"ECON 411, ECON 414, ECON 440, ECON 450, ECON 451, ECON 452, ECON 480, ECON 481, ECON 482, ECON 483, ECON 484, ECON 490",,,,,,,,,,,,,,,,"ECON 102, ECON 202, ECON 203, ECON 302",18
Economics-econometrics track,C,2,"ECON 465, ECON 490",,,,,,,,,,,,,,,,"ECON 102, ECON 202, ECON 203, ECON 302, ECON 471",18
"Electrical & Computer Engineering, EE option",C,1,"ECE 110, ECE 205",C,1,"CS 101, CS 125",C,1,"ECE 313 OR MATH 362, IE 300, BIOE 310, MATH 461, MATH 463 OR STAT 400, CEE 202, CS 361 OR STAT 361",C,2,"ECE 310, ECE 329, ECE 330, ECE 340, ECE 342 AND ECE 343",H,18,"ECE 1XX, ECE 2XX, ECE 3XX, ECE 4XX",,,,ECE 210,19
"ECE, CE option",C,1,"ECE 110, ECE 205",C,1,"CS 101, CS 125",C,1,"ECE 313 OR MATH 362, IE 300, BIOE 310, MATH 461, MATH 463 OR STAT 400, CEE 202, CS 361 OR STAT 361",C,1,"ECE 385, ECE 391, ECE 411",H,18,"ECE 1XX, ECE 2XX, ECE 3XX, ECE 4XX",,,,"ECE 120, ECE 220",19
English as a Second Language,C,1,"LING 100, LING 400, EIL 486",C,3,"EIL 422, EIL 445, EIL 456, EIL 460, EIL 487, EIL 488",,,,,,,,,,,,,"LING 489, EIL 411",18
"English as a Second Language, Teacher Education",C,1,"EIL 214, EIL 215",C,1,"EIL 456, CI 446",,,,,,,,,,,,,"EIL 422, EIL 411, EIL 460, EIL 448, LING 489, LING 100",23
Environmental Economics & Law,C,1,"ACE 100, ECON 102",C,2,"ACE 306, ACE 403, ACE 406, ACE 456, BADM 300",C,1,"ACE 411, CEE 434, ECON 414 OR FIN 414, ECON 484",,,,,,,,,,"ACE 210 OR ECON 210 OR ENVS 210 OR NRES 210 OR UP 210, ACE 310 OR ENVS 310 OR NRES 310",18
Food & Agribusiness Management,H,3,"ACE 210, ACE 251, ACE 306, ACE 335, ACE 345",C,2,"ACE 427, ACE 428, ACE 430 OR FSHN 425, ACE 431 OR BADM 438, ACE 435, ACE 436OR BADM 436, ACE 444",,,,,,,,,,,,,"ACE 100 OR ECON 102, ACE 222, ACE 231",18
Food & Environmental Systems,H,3,"ANSC 100, ANSC 101, ANSC 110, ANSC 223, ANSC 224, ANSC 250, ACE 100, ACE 210, ACE 222, ACE 231, ACE 232, ACE 251, CPSC 112, CPSC 116, CPSC 226, FSHN 120 OR FSHN 220, FSHN 232, FSHN 260, HORT 105, HORT 106, NRRES 109, NRES 201, NRES 219, NRES 287, PLPA 204, TSM 100",H,6,"ACE 306, ACE 310, ACE 346, ACE 403, ACE 406, ACE 411, ACE 430, ACE 431, ACE 432, ACE 435, ACE 436, ACE 451, ACE 456, ANSC 305, ANSC 306, ANSC 309, ANSC 322, ANSC 363, ANSC 400, ANSC 401, ANSC 402, ANSC 403, ANSC 404, ANSC 405, ANSC 406, ANSC 407, ANSC 409, ANSC 422, ANSC 423, ANSC 431, ANSC 438, ANSC 444, ANSC 446, ANSC 450, ANSC 451, ANSC 452, ANSC 467, CPSC 407, CPSC 418, CPSC 431, FSHN 302, FSHN 322, FSHN 425, FSHN 428, NRES 325, NRES 330, NRRES 348, NRES 370, NRES 409, NRRES 419, NRES 420, NRES 430, NRES 431, NRES 474, NRES 488, PLPA 407, TSM 311",,,,,,,,,,,,,"ACES 102, FSHN 101, NRES 100",18
Food Science,C,1,"FSHN 465, FSHN 461 AND FSHN 462",C,1,"FSHN 232, FSHN 260, FSHN 302, FSHN 416, FSHN 418, FSHN 460, FSHN 466, ANSC 350, MCB 450, ABE 483",,,,,,,,,,,,,"FSHN 101, FSHN 414, FSHN 471",18
French,C,1,"FR 335, FR 336, FR 337",C,1,"FR 205, FR 213",C,2,"FR 3XX, FR 4XX",,,,,,,,,,"FR 207, FR 211, FR 212",20
Geography & GIS,C,2,"GEOG 100 OR ATMS 100, GEOG 101, GEOG 103, GEOG 104, GEOG 105, GEOG 106, GEOG 221",C,1,"GEOG 204, GEOG 205, GEOG 224, GEOG 350, GEOG 356, GEOG 384, GEOG 405, GEOG 410, GEOG 438, GEOG 455, GEOG 466, GEOG 471, GEOG 483, GEOG 484",C,1,"GEOG 210, GEOG 222, ESE 320, NRES 401 OR GEOG 401, GEOG 405, GEOG 406, GEOG 408, GEOG 412, GEOG 459, GEOG 496",C,1,"GEOG 371, GEOG 379, GEOG 380, GEOG 412, GEOG 440, PATH 439, GEOG 460, GEOG 468, GEOG 473, GEOG 476, GEOG 477, GEOG 478, GEOG 479, GEOG 480",C,1,"GEOG 221, GEOG 204, GEOG 205, GEOG 224, GEOG 350, GEOG 356, GEOG 384, GEOG 405, GEOG 410, GEOG 438, GEOG 455, GEOG 466, GEOG 471, GEOG 483, GEOG 484, GEOG 210, GEOG 222, ESE 320, NRES 401 OR GEOG 401, GEOG 405, GEOG 406, GEOG 408, GEOG 412, GEOG 459, GEOG 496, GEOG 371, GEOG 379, GEOG 380, GEOG 412, GEOG 440, PATH 439, GEOG 460, GEOG 468, GEOG 473, GEOG 476, GEOG 477, GEOG 478, GEOG 479, GEOG 480",,,,,18
Geology,H,10,"GEOL 333, GEOL 380, GEOL 4XX",,,,,,,,,,,,,,,,"GEOL 107, GEOL 208",18
German,H,11,"GER 103, GER 104, GER 201, GER 205, GER 212, GER 250 OR GER 251, GER 260 OR GER 261, GER 270, GER 331, GER 332, GER 401, PS 485, GER 403, GER 465, GER 470, GER 471, GER 472, GER 473, GER 493, GER 494",,,,,,,,,,,,,,,,"GER 211, GER 420",18
Global Labor Studies,H,6,"LER 300, LER 320, LER 330",H,6,"LER 200, LER 330, LER 240, LER 410",,,,,,,,,,,,,"LER 100, LER 130",18
Hindi Studies,C,2,"LING 111, LING 115, HNDI 412",C,1,"SNSK 201, SNSK, 202, ARAB 201, ARAB 202, PERS 201, PERS 202, HNDI 408",,,,,,,,,,,,,"HNDI 404, HNDI 405, HNDI 406",19
Horticulture,H,2,"HORT 3XX, HORT 4XX",H,9,"HORT 1XX, HORT 2XX, HORT 3XX, HORT 4XX, !HORT 393, !HORT 395",,,,,,,,,,,,,"HORT 100, HORT 341",18
Integrative Biology,C,1,"IB 150, IB 103, IB 104",C,2,"IB 202, IB 203, IB 204, IB 302",C,2,"IB 335, IB 360, IB 362, IB 368, IB 401, IB 461, IB 462, IB 463, IB 471, IB 329, IB 361, IB 405, IB 430, IB 431, IB 432, IB 439, IB 440, IB 443, IB 444, IB 451, IB 452, IB 453, IB 481, IB 482, IB 485, IB 486, IB 494, IB 303, IB 364, IB 420, IB 421, IB 426, IB 427, IB 434, IB 435, IB 348, IB 411, IB 416, IB 436, IB 442, IB 467, IB 468, IB 476, IB 478, IB 483, IB 484, IB 487, IB 491, IB 492",,,,,,,,,,,16
Interdisciplinary Minor in Aging,H,9,"KIN 459, SOCW 240, SOCW 315, CHLH 494, RST 316, RST 335, SHS 271, KIN 386, EPSY 407, UP 340",,,,,,,,,,,,,,,,"IHLT 240, CHLH 404, PSYC 361",18
International Development Economics,C,1,ACE 100 OR ECON 102,C,1,"ACE 222, ACE 254, ACE 255, ACE 270",C,2,"ACE 411, ACE 436, ACE 451, ACE 452, ACE 454, ACE 455",H,12,"ACE 222, ACE 254, ACE 255, ACE 270, ACE 411, ACE 436, ACE 451, ACE 452, ACE 454, ACE 455",,,,,,,,18
Italian,H,15,"ITAL 200, ITAL 210, ITAL 220, ITAL 240, ITAL 270, ITAL 310, ITAL 380, ITAL 390, ITAL 406, ITAL 413, ITAL 414, EURO 415, ITAL 420, ITAL 440, ITAL 450, ITAL 470, ITAL 490, ITAL491",H,6,"ITAL 310, ITAL 380, ITAL 406, ITAL 413, ITAL 414, ITAL 420, ITAL 440, ITAL 450, ITAL 470, ITAL 490",,,,,,,,,,,,,ITAL 104,19
Journalism,C,2,"JOUR 210, JOUR 220, JOUR 360, JOUR 361, JOUR 450, JOUR 451, JOUR 452, JOUR 453, JOUR 454, JOUR 470, JOUR 471, JOUR 482, JOUR 483",,,,,,,,,,,,,,,,"JOUR 200, JOUR 205, JOUR 250, JOUR 311",18
Kinesiology-Exercise Psychology & Health Behavior,C,1,"KIN 247, KIN 443, KIN 447, KIN 474",,,,,,,,,,,,,,,,"KIN 122, KIN 140, KIN 160, KIN 201, KIN 340, KIN 448",21
KIN-Exercise Physiology        ,C,1,"KIN 451, KIN 452, KIN 453, KIN 470",,,,,,,,,,,,,,,,"KIN 122, KIN 140, KIN 160, KIN 201, KIN 150, KIN 352",21
KIN-Teaching & Coaching Physical Activity        ,C,1,"KIN 360, KIN 363, KIN 369, KIN 460",,,,,,,,,,,,,,,,"KIN 122, KIN 140, KIN 160, KIN 201, KIN 361, KIN 362",21
KIN-Biomechanics	,C,1,"KIN 259, KIN 473",,,,,,,,,,,,,,,,"KIN 122, KIN 140, KIN 160, KIN 201, KIN 355, KIN 457",21
KIN-Cultural & Interpretive Studies        ,C,1,"KIN 401, KIN 442, KIN 473",,,,,,,,,,,,,,,,"KIN 122, KIN 140, KIN 160, KIN 201, KIN 249, KIN 346",21
Landscape Studies,C,1,LA 101,H,6,"LA 212, LA 250, LA 270, LA 370",H,9,"LA 218, LA 220, LA 221, LA 222, LA 242, LA 314, LA 315, LA 390, LA 427, LA 470",,,,,,,,,,,17
Leadership Studies,C,2,"ACE 231, ACE 291, ACES 298, AFAS 331, AFAS 332, AGCM 430, LEAD 230, LEAD 340, AGED 360, AHS 365, ANSC 471, BADM 310, BADM 311, BADM 314, CMN 321, ENG 315, ENG 598, IHLT 230, JOUR 250, KIN 369, MILS 341, MILS 342, NS 303, NS 308, PHIL 436, PS 304, PSYC 455, RST 200, SE 361, SOCW 321",,,,,,,,,,,,,,,,"LEAD 260, LEAD 380, PSYC 245, LEAD 480",17
Legal Studies Law and Politics Track,H,9,"LAW 201, LAW 301, LAW 302, LAW 303, LAW 304, LAW 305, EPS 310 OR AAS 310 OR 310 AFRO 310 OR LLS 310, SOC 479, PS 323",H,9,"PS 301, PS 302, PS 305, PS 306, PS 322, PS 386",,,,,,,,,,,,,,18
Legal Studies Law and Cultures Track,H,9,"LAW 201, LAW 301, LAW 302, LAW 303, LAW 304, LAW 305, EPS 310 OR AAS 310 OR 310 AFRO 310 OR LLS 310, SOC 479, PS 323",H,9,"AAS 370 OR LLS 372, LLS 343 OR AIS 343 OR AFRO 343 OR AAS 343 OR GWS 343, LLS 473, AFRO 378 OR HIST 389, GLBL 220, GLBL 260, PS 201 OR AAS 201 OR AFRO 201 OR LLS 201, GWS 201 OR SOC 201",H,6,"AAS 370 OR LLS 372, LLS 343 OR AIS 343 OR AFRO 343 OR AAS 343 OR GWS 343, LLS 473, AFRO 378 OR HIST 389",,,,,,,,,,,18
Legal Studies Law and Economics of Food Security Track,H,9,"LAW 201, LAW 301, LAW 302, LAW 303, LAW 304, LAW 305, EPS 310 OR AAS 310 OR 310 AFRO 310 OR LLS 310, SOC 479, PS 323",H,9,"ACE 210, ACE 251, ACE 255, ACE 306, ACE 310, ACE 321, ACE 403, ACE 406, ACE 410, ACE 411, ACE 456",H,6,"ACE 306, ACE 310, ACE 321, ACE 403, ACE 406, ACE 410, ACE 411, ACE 456",,,,,,,,,,,18
Linguistics,C,2,"LING 301, LING 302, LING 307",H,6,"LING 301, LING 302, LING 307, LING 210, LING 225, LING 250, LING 400, LING 401, LING 406",H,3,LING XXX,,,,,,,,,,LING 100,18
Materials Science & Engineering,C,1,"MSE 304, MSE 402, MSE 403, MSE 405, MSE 406",H,9,"MSE 404, MSE 420, MSE 421, MSE 422, MSE 440, MSE 441, MSE 443,  MSE 445, MSE 450, MSE 453, MSE 454, MSE 455, MSE 456, MSE 457, MSE 458, MSE 460, MSE 461, MSE 466, MSE 470, MSE 473, MSE 474, MSE 480, MSE 481, MSE 484, MSE 485, MSE 487, MSE 488, MSE 489, ECE 444",,,,,,,,,,,,,"MSE 280, MSE 401",18
Musical Theatre for Performing Artists Dance Majors,,,,,,,,,,,,,,,,,,,"MUS 103, MUS 222, THEA 170, MUS 107, MUS 181, MUS 422, MUS 472, DANC 209",21
Musical Theatre for Performing Artists Acting Concentration in Theatre Majors,,,,,,,,,,,,,,,,,,,"MUS 103, MUS 222, DANC 101, DANC 107, MUS 107, MUS 181, MUS 422, MUS 472, DANC 209",22
Natural Resource Conservation,H,12,"NRES 108, NRES 109, NRES 201, ACE/NRES 210, NRES 219, ACE/NRES 310, NRES 325, NRES 340, NRES 348, NRES 351, NRES 407, NRES 409, NRES 415, NRES 419, NRES 420, NRES 421, NRES 424, NRES 425, NRES 426, NRES 427, NRES 429, NRES 438, NRES 439, NRES 454, NRES 455, NRES 471, NRES 472, NRES 474, NRES 475, NRES 488",H,6,"NRES 407, NRES 409, NRES 415, NRES 419, NRES 420, NRES 421, NRES 424, NRES 425, NRES 426, NRES 427, NRES 429, NRES 438, NRES 439, NRES 454, NRES 455, NRES 471, NRES 472, NRES 474, NRES 475, NRES 488",,,,,,,,,,,,,"NRES 102 OR NRES 100, NRES 287",18
Nutrition,C,2,"ANSC 420, FSHN 322, FSHN 421, FSHN 428, FSHN 429",,,,,,,,,,,,,,,,"FSHN 220, FSHN 420, FSHN 426, FSHN 427",19
Philosophy,C,2,"PHIL 3XX, PHIL 4XX",C,1,"PHIL 1XX, PHIL 2XX, PHIL 3XX, PHIL 4XX",,,,,,,,,,,,,"PHIL 203, PHIL 206, PHIL 103 OR PHIL 202",20
Physics,C,2,"PHYS 3XX, PHYS 4XX, !PHYS 419, !PHYS 420",,,,,,,,,,,,,,,,"PHYS 211, PHYS 212, PHYS 213 OR PHYS 214, PHYS 225, PHYS 325",21
Political Science,C,2,"PS 1XX, PS 2XX",C,3,"PS 3XX, 4XX",,,,,,,,,,,,,PS 100,18
Polymer Science & Engineering,C,1,"CHBE 321, CHEM 442, Chem 444 ME 200, MSE 401, PHYS 427",C,2,"CHEM 436, CHEM 437, ME 450, MSE 455, MSE 457, MSE 458, MSE 480, FSHN 469, TAM 427",,,,,,,,,,,,,"MSE 450 OR CHBE 456, MSE 452, MSE 453, TAM 251, CHEM 236",25
Portuguese,H,9,"PORT 403, PORT 404, PORT 406, PORT 410",,,,,,,,,,,,,,,,"PORT 401, PORT 402",16
Psychology,C,1,"PSYC 204, PSYC 210, PSYC 220, PSYC 224, PSYC 230, PSYC 248",C,1,"PSYC 201, PSYC 216, PSYC 238, PSYC 238, PSYC 239, PSYC 245, PSYC 250",C,2,"PSYC 3XX, PSYC 4XX",,,,,,,,,,"PSYC 100, PSYC 235",18
Public Relations,C,1,"ADV 350, JOUR 210, CMN 220",C,2,"ADV 393, ADV 490, ADV 494, JOUR 360, JOUR 453, JOUR 460, CMN 321, CMN 377, CMN 464",,,,,,,,,,,,,"JOUR 200, ADV 310, ADV 410",18
Scandinavian Studies,H,6,"SCAN 305, SCAN 306, SCAN 376, SCAN 463, SCAN 470, SCAN 472, SCAN 490, SCAN 492, SCAN 494, SCAN 496",H,18,"SCAN 103, SCAN 104, SCAN 215, SCAN 225, SCAN 251, SCAN 252, SCAN 305, SCAN 306, SCAN 376, SCAN 463, SCAN 470, SCAN 472, SCAN 490, SCAN 492, SCAN 494, SCAN 496",,,,,,,,,,,,,SCAN 102,18
Social Work,C,2,"SOCW 240, SOCW 297, SOCW 310, SOCW 315, SOCW 321, SOCW 330, SOCW 360, SOCW 370, SOCW 380, SOCW 412, SOCW 416, SOCW 418, SOCW 420, SOCW 436, SOCW 455, SOCW 475, SOCW 480",,,,,,,,,,,,,,,,"SOCW 200, SOCW 300, SOCW 410, SOCW 451",18
Spatial and Quantitative Methods in Natural Resources and Environmental Sciences,C,1,"NRES 340, NRES 421, CPSC 440, NRES 445, SOC 485, STAT 200",C,1,"NRES 422, NRES 427, ANSC 448, GEOG 468",C,1,"NRES 454, NRES 455, NRES 465, GEOG 478, GEOG 479, GEOG 489",H,18,"NRES 340, NRES 421, CPSC 440, NRES 445, SOC 485, STAT 200, NRES 422, NRES 427, ANSC 448, GEOG 468, NRES 454, NRES 455, NRES 465, GEOG 478, GEOG 479, GEOG 489",,,,,,,,18
Speech & Hearing Science,C,2,"SHS 222, SHS 240, SHS 300, SHS 320, SHS 352",H,8,"SHS 120, SHS 200, SHS 271, SHS 280, SHS 301, SHS 333, SHS 375, SHS 380, SHS 389, SHS 427, SHS 450, SHS 451, SHS 473",H,6,"SHS 301, SHS 333, SHS 375, SHS 380, SHS 389, SHS 427, SHS 450, SHS 451, SHS 473",,,,,,,,,,SHS 170,17
Teacher Education Minor in English as a Second Language,C,1,"EIL 214, EIL 215",C,1,"EIL 456, CI 446",,,,,,,,,,,,,"EIL 422, EIL 411, EIL 460, EIL 488, LING 489, LING 100",23
Teacher Education Minor in Secondary School Teaching,,,,,,,,,,,,,,,,,,,"EDUC 201, EDUC 202, CI 401, CI 403, CI 404, CI 473, EPSY 201, EPSY 485, SPED 405, EDPR 442",39
Technical Systems Management,H,6,"TSM 435, TSM 464, TSM 465, TSM 496",H,15,"TSM 232, TSM 233, TSM 234, TSM 262, TSM 352, TSM 363, TSM 371, TSM 372, TSM 381, TSM 435, TSM 464, TSM 465, TSM 496",,,,,,,,,,,,,TSM 100,18
Theatre,C,1,"THEA 304, THEA 364",C,1,"THEA 110, THEA 210, THEA 211, THEA 218, THEA 260, THEA 263, THEA 304, THEA 323, THEA 362, THEA 364, THEA 410, THEA 411, THEA 417, THEA 418, THEA 463, THEA 464, THEA 467, THEA 483",C,1,"THEA 100, THEA 126, THEA 153, THEA 170, THEA 175, THEA 220, THEA 222, THEA 231, THEA 270, THEA 407, THEA 418, THEA 433, THEA 452, THEA 456",C,1,"THEA 304, THEA 323, THEA 362, THEA 364, THEA 410, THEA 411, THEA 417, THEA 418, THEA 463, THEA 464, THEA 467, THEA 483, THEA 407, THEA 418, THEA 433, THEA 452, THEA 456",,,,,,,"THEA 100, THEA 101, THEA 208",16
Turkish Studies,H,9,"ANTH 402, ANTH 488, EURO 415, HIST 135, HIST 335, HIST 337, HIST 356, HIST 396, HIST 439, HIST 466, FR 418, MUS 418, PS 152, PS 347, REL 213 OR REL 214, REL 223, REL 403, REL 408, REL 480, REL 482, REES 201, SOC 483, TURK 490",,,,,,,,,,,,,,,,"TURK 405, TURK 406, TURK 270",18
"World Literature, europe & americas track",C,2,"CWL 395, CWL 441, CWL 461, CWL 471, CWL 496",,,,,,,,,,,,,,,,"CWL 241, CWL 242, CWL 201, CWL 202",18
"world literature, asia & africa track",C,2,"CWL 395, CWL 441, CWL 461, CWL 471, CWL 496",,,,,,,,,,,,,,,,"CWL 189, CWL 190, CWL 201, CWL 202",18